Age Group,Country of Residence,Native Language,Years of Experience,Profession,Education,Work Preference,Important Job Aspect,Job Satisfaction (1-5),Organization Size
45+,Canada,German,07-אוק,Data Analyst,Other,Office work,Salary,2,"201-1,000 employees"
18-25,Israel,French,10+,Healthcare Professional,PhD,Hybrid,Growth opportunities,2,11-50 employees
36-45,Canada,Spanish,03-יונ,Data Analyst,High School,Office work,Work-life balance,5,1-10 employees
36-45,Australia,Other,0-2,Healthcare Professional,Other,Work from home,Work-life balance,5,"201-1,000 employees"
26-35,France,Spanish,03-יונ,Engineer,High School,Hybrid,Work-life balance,4,11-50 employees
26-35,India,German,0-2,Accountant,Bachelor's Degree,Work from home,Growth opportunities,1,51-200 employees
36-45,Australia,French,0-2,Teacher,Bachelor's Degree,Work from home,Growth opportunities,2,"1,000+ employees"
18-25,Israel,German,07-אוק,Teacher,PhD,Work from home,Other,5,51-200 employees
36-45,Germany,Mandarin,03-יונ,Teacher,PhD,Hybrid,Work-life balance,5,"201-1,000 employees"
18-25,Other,German,03-יונ,Engineer,PhD,Work from home,Other,3,51-200 employees
36-45,France,English,0-2,Accountant,High School,Office work,Job security,4,"201-1,000 employees"
36-45,Canada,English,0-2,Teacher,Master's Degree,Work from home,Job security,1,1-10 employees
45+,Australia,Hebrew,0-2,Marketing Specialist,PhD,Office work,Growth opportunities,1,"1,000+ employees"
18-25,France,Hebrew,03-יונ,Teacher,Bachelor's Degree,Hybrid,Growth opportunities,4,1-10 employees
18-25,Other,Other,03-יונ,Teacher,Master's Degree,Work from home,Work-life balance,5,11-50 employees
45+,UK,English,0-2,Teacher,PhD,Work from home,Other,1,"201-1,000 employees"
26-35,Israel,French,0-2,Healthcare Professional,High School,Office work,Growth opportunities,5,1-10 employees
18-25,India,English,10+,Data Analyst,High School,Work from home,Salary,4,1-10 employees
18-25,Israel,Mandarin,03-יונ,Other,PhD,Hybrid,Other,5,1-10 employees
36-45,Canada,Hebrew,07-אוק,Engineer,Other,Office work,Work-life balance,3,"1,000+ employees"
45+,India,Hebrew,07-אוק,Marketing Specialist,High School,Work from home,Work-life balance,5,"201-1,000 employees"
18-25,Canada,Mandarin,07-אוק,Healthcare Professional,Master's Degree,Work from home,Growth opportunities,3,"1,000+ employees"
36-45,Germany,German,07-אוק,Engineer,High School,Office work,Growth opportunities,1,51-200 employees
18-25,India,German,07-אוק,Accountant,Master's Degree,Work from home,Other,1,51-200 employees
18-25,Australia,Spanish,07-אוק,Teacher,Other,Hybrid,Job security,4,1-10 employees
36-45,USA,Hebrew,07-אוק,Other,Master's Degree,Work from home,Other,3,51-200 employees
26-35,Israel,Spanish,10+,Other,Other,Hybrid,Growth opportunities,1,"201-1,000 employees"
18-25,Australia,Mandarin,07-אוק,Accountant,PhD,Hybrid,Other,3,51-200 employees
26-35,Israel,Mandarin,10+,Teacher,PhD,Work from home,Work-life balance,2,1-10 employees
26-35,Other,French,07-אוק,Other,Master's Degree,Office work,Salary,4,1-10 employees
18-25,Germany,Hebrew,0-2,Data Analyst,Other,Hybrid,Other,3,"201-1,000 employees"
18-25,France,Hebrew,0-2,Healthcare Professional,Other,Office work,Work-life balance,5,"1,000+ employees"
36-45,Germany,German,0-2,Software Developer,High School,Office work,Growth opportunities,2,1-10 employees
26-35,France,Other,10+,Data Analyst,Bachelor's Degree,Office work,Work-life balance,3,"201-1,000 employees"
26-35,France,German,0-2,Healthcare Professional,Bachelor's Degree,Office work,Salary,5,11-50 employees
26-35,Germany,Mandarin,07-אוק,Other,PhD,Hybrid,Work-life balance,5,"201-1,000 employees"
26-35,Germany,German,07-אוק,Teacher,PhD,Work from home,Salary,4,"1,000+ employees"
18-25,UK,French,10+,Accountant,High School,Work from home,Job security,4,51-200 employees
36-45,UK,Hebrew,07-אוק,Teacher,Master's Degree,Hybrid,Growth opportunities,4,11-50 employees
26-35,Canada,Hebrew,10+,Accountant,High School,Hybrid,Other,4,1-10 employees
18-25,UK,Other,07-אוק,Data Analyst,PhD,Hybrid,Other,1,11-50 employees
36-45,Other,English,0-2,Accountant,High School,Office work,Growth opportunities,1,"201-1,000 employees"
45+,USA,Mandarin,07-אוק,Teacher,High School,Office work,Work-life balance,2,"201-1,000 employees"
18-25,Other,German,0-2,Teacher,Master's Degree,Hybrid,Job security,3,51-200 employees
36-45,France,Hebrew,0-2,Marketing Specialist,Master's Degree,Office work,Job security,4,"201-1,000 employees"
26-35,Australia,Other,07-אוק,Data Analyst,Other,Office work,Work-life balance,1,"1,000+ employees"
18-25,Canada,Mandarin,03-יונ,Accountant,High School,Hybrid,Work-life balance,3,"201-1,000 employees"
36-45,France,German,03-יונ,Other,Master's Degree,Hybrid,Work-life balance,2,"1,000+ employees"
45+,Other,Hebrew,10+,Other,Other,Office work,Job security,2,1-10 employees
36-45,France,Mandarin,0-2,Engineer,Other,Hybrid,Job security,1,"201-1,000 employees"
45+,Germany,Hebrew,10+,Software Developer,PhD,Hybrid,Salary,4,"1,000+ employees"
26-35,India,Other,07-אוק,Accountant,Master's Degree,Office work,Other,3,"1,000+ employees"
45+,Germany,German,07-אוק,Other,PhD,Hybrid,Growth opportunities,5,11-50 employees
45+,France,English,0-2,Software Developer,Master's Degree,Work from home,Job security,5,"201-1,000 employees"
18-25,USA,Hebrew,0-2,Other,Bachelor's Degree,Work from home,Work-life balance,1,11-50 employees
18-25,France,Spanish,10+,Engineer,Bachelor's Degree,Work from home,Job security,1,1-10 employees
18-25,Australia,Hebrew,07-אוק,Accountant,Other,Work from home,Work-life balance,3,"201-1,000 employees"
26-35,Other,Spanish,0-2,Software Developer,High School,Work from home,Job security,1,51-200 employees
45+,Other,German,10+,Teacher,PhD,Office work,Other,5,"1,000+ employees"
26-35,Germany,Other,03-יונ,Software Developer,Other,Work from home,Work-life balance,2,51-200 employees
45+,Canada,Hebrew,03-יונ,Teacher,High School,Office work,Job security,1,"201-1,000 employees"
45+,UK,Other,03-יונ,Software Developer,Master's Degree,Work from home,Other,5,1-10 employees
36-45,Germany,English,03-יונ,Accountant,PhD,Hybrid,Work-life balance,3,11-50 employees
26-35,Other,Mandarin,10+,Accountant,Other,Hybrid,Other,2,"201-1,000 employees"
45+,Israel,Hebrew,0-2,Healthcare Professional,Master's Degree,Office work,Work-life balance,1,"1,000+ employees"
26-35,Canada,Other,03-יונ,Marketing Specialist,Bachelor's Degree,Hybrid,Job security,2,11-50 employees
18-25,USA,German,10+,Accountant,PhD,Hybrid,Work-life balance,4,11-50 employees
18-25,Australia,Mandarin,10+,Healthcare Professional,Bachelor's Degree,Hybrid,Other,2,1-10 employees
36-45,Other,English,10+,Teacher,Master's Degree,Office work,Growth opportunities,3,51-200 employees
26-35,Other,Spanish,0-2,Other,PhD,Work from home,Salary,2,11-50 employees
36-45,Canada,German,10+,Accountant,PhD,Hybrid,Salary,2,1-10 employees
18-25,Australia,Other,0-2,Engineer,PhD,Work from home,Growth opportunities,5,"201-1,000 employees"
45+,Canada,French,10+,Software Developer,High School,Hybrid,Salary,3,51-200 employees
18-25,Canada,Other,07-אוק,Accountant,High School,Office work,Work-life balance,5,51-200 employees
26-35,Germany,Spanish,0-2,Data Analyst,PhD,Work from home,Job security,1,1-10 employees
36-45,Other,English,10+,Other,High School,Hybrid,Growth opportunities,2,51-200 employees
18-25,Australia,English,0-2,Healthcare Professional,Other,Office work,Job security,3,11-50 employees
36-45,Other,Hebrew,0-2,Software Developer,Other,Hybrid,Salary,1,"201-1,000 employees"
36-45,Canada,German,0-2,Healthcare Professional,PhD,Hybrid,Job security,5,"1,000+ employees"
18-25,USA,French,07-אוק,Marketing Specialist,Other,Work from home,Other,4,"201-1,000 employees"
26-35,Other,Hebrew,10+,Other,Bachelor's Degree,Hybrid,Work-life balance,3,51-200 employees
26-35,Other,Hebrew,03-יונ,Other,Master's Degree,Office work,Salary,3,11-50 employees
18-25,USA,French,07-אוק,Software Developer,Bachelor's Degree,Hybrid,Growth opportunities,5,11-50 employees
18-25,France,Other,0-2,Software Developer,Other,Office work,Salary,3,51-200 employees
36-45,Other,Spanish,03-יונ,Engineer,Master's Degree,Office work,Work-life balance,5,"1,000+ employees"
26-35,India,Spanish,0-2,Teacher,Bachelor's Degree,Office work,Salary,3,1-10 employees
18-25,USA,English,03-יונ,Teacher,Master's Degree,Hybrid,Growth opportunities,1,"201-1,000 employees"
26-35,UK,French,10+,Engineer,Other,Office work,Other,3,"201-1,000 employees"
36-45,UK,Spanish,10+,Software Developer,PhD,Hybrid,Growth opportunities,5,51-200 employees
36-45,Germany,German,07-אוק,Software Developer,High School,Hybrid,Other,2,"201-1,000 employees"
45+,Germany,Spanish,10+,Healthcare Professional,Bachelor's Degree,Work from home,Job security,2,"201-1,000 employees"
26-35,Australia,Spanish,03-יונ,Marketing Specialist,Master's Degree,Hybrid,Work-life balance,4,"1,000+ employees"
36-45,UK,Spanish,03-יונ,Accountant,PhD,Office work,Job security,3,"201-1,000 employees"
45+,India,Hebrew,07-אוק,Data Analyst,Other,Work from home,Growth opportunities,1,51-200 employees
45+,USA,Other,0-2,Engineer,High School,Hybrid,Job security,5,1-10 employees
45+,Australia,Other,0-2,Healthcare Professional,PhD,Office work,Job security,3,"201-1,000 employees"
26-35,Canada,Other,07-אוק,Healthcare Professional,Bachelor's Degree,Office work,Other,4,"1,000+ employees"
45+,Other,Spanish,07-אוק,Other,Bachelor's Degree,Office work,Job security,2,"201-1,000 employees"
18-25,USA,German,03-יונ,Healthcare Professional,Master's Degree,Work from home,Job security,3,"201-1,000 employees"
45+,Israel,Spanish,10+,Software Developer,High School,Work from home,Salary,5,1-10 employees
45+,Israel,English,0-2,Data Analyst,PhD,Hybrid,Other,5,"201-1,000 employees"
45+,Canada,Mandarin,03-יונ,Healthcare Professional,Master's Degree,Office work,Work-life balance,5,11-50 employees
18-25,Other,French,10+,Data Analyst,Master's Degree,Work from home,Work-life balance,2,1-10 employees
36-45,UK,Spanish,07-אוק,Software Developer,High School,Work from home,Growth opportunities,3,"201-1,000 employees"
26-35,USA,Spanish,07-אוק,Engineer,Other,Hybrid,Other,1,51-200 employees
45+,Germany,Hebrew,03-יונ,Teacher,High School,Office work,Salary,4,"1,000+ employees"
45+,Germany,Spanish,0-2,Teacher,High School,Office work,Work-life balance,1,"1,000+ employees"
36-45,USA,Hebrew,07-אוק,Other,PhD,Work from home,Other,1,"1,000+ employees"
36-45,India,German,03-יונ,Software Developer,PhD,Hybrid,Work-life balance,2,"1,000+ employees"
36-45,France,English,0-2,Accountant,Master's Degree,Hybrid,Other,1,11-50 employees
45+,Australia,French,0-2,Accountant,Master's Degree,Hybrid,Other,4,"201-1,000 employees"
45+,Other,Mandarin,03-יונ,Healthcare Professional,PhD,Office work,Other,1,51-200 employees
36-45,UK,Other,03-יונ,Data Analyst,High School,Hybrid,Job security,5,1-10 employees
18-25,Australia,Hebrew,10+,Accountant,Master's Degree,Hybrid,Work-life balance,2,"1,000+ employees"
36-45,Australia,Hebrew,0-2,Data Analyst,Bachelor's Degree,Hybrid,Growth opportunities,4,"1,000+ employees"
26-35,USA,Other,07-אוק,Marketing Specialist,Master's Degree,Hybrid,Work-life balance,1,"1,000+ employees"
18-25,France,English,10+,Software Developer,High School,Office work,Salary,1,51-200 employees
18-25,Canada,German,07-אוק,Software Developer,Bachelor's Degree,Office work,Work-life balance,1,11-50 employees
45+,USA,German,10+,Teacher,Master's Degree,Hybrid,Growth opportunities,4,"201-1,000 employees"
26-35,Australia,Other,03-יונ,Accountant,Other,Office work,Job security,1,51-200 employees
26-35,Other,French,0-2,Marketing Specialist,Master's Degree,Hybrid,Salary,5,51-200 employees
45+,Canada,Other,03-יונ,Software Developer,Other,Hybrid,Salary,4,11-50 employees
45+,Australia,German,10+,Teacher,PhD,Office work,Job security,1,11-50 employees
36-45,Canada,German,07-אוק,Software Developer,High School,Hybrid,Work-life balance,4,"1,000+ employees"
36-45,Australia,Hebrew,0-2,Marketing Specialist,High School,Hybrid,Salary,2,"201-1,000 employees"
26-35,Other,Spanish,0-2,Data Analyst,High School,Work from home,Work-life balance,2,51-200 employees
18-25,USA,German,0-2,Engineer,Bachelor's Degree,Work from home,Job security,3,"1,000+ employees"
18-25,USA,Other,03-יונ,Accountant,Other,Hybrid,Work-life balance,4,1-10 employees
45+,Other,Hebrew,0-2,Teacher,Master's Degree,Office work,Work-life balance,2,51-200 employees
26-35,France,French,07-אוק,Teacher,Other,Office work,Growth opportunities,5,1-10 employees
36-45,Germany,English,07-אוק,Data Analyst,Other,Work from home,Work-life balance,5,"1,000+ employees"
26-35,Canada,English,03-יונ,Healthcare Professional,PhD,Office work,Job security,5,51-200 employees
18-25,Other,English,03-יונ,Teacher,Master's Degree,Work from home,Other,2,1-10 employees
26-35,USA,French,10+,Engineer,Bachelor's Degree,Office work,Other,4,"1,000+ employees"
26-35,France,German,07-אוק,Engineer,PhD,Office work,Job security,4,1-10 employees
18-25,Canada,Mandarin,0-2,Other,Bachelor's Degree,Office work,Other,4,"201-1,000 employees"
18-25,Australia,German,03-יונ,Data Analyst,Other,Work from home,Growth opportunities,4,1-10 employees
26-35,India,Hebrew,07-אוק,Data Analyst,Master's Degree,Hybrid,Job security,3,1-10 employees
26-35,Canada,German,03-יונ,Data Analyst,Bachelor's Degree,Hybrid,Salary,2,1-10 employees
18-25,Germany,Spanish,0-2,Software Developer,Other,Work from home,Salary,1,"201-1,000 employees"
45+,UK,English,07-אוק,Accountant,High School,Hybrid,Job security,2,51-200 employees
36-45,India,Other,0-2,Other,Other,Office work,Growth opportunities,1,11-50 employees
26-35,Israel,Spanish,0-2,Data Analyst,Master's Degree,Hybrid,Work-life balance,3,1-10 employees
18-25,India,English,0-2,Other,Bachelor's Degree,Work from home,Work-life balance,3,1-10 employees
36-45,Other,German,0-2,Other,Bachelor's Degree,Work from home,Job security,4,"201-1,000 employees"
36-45,Other,Hebrew,03-יונ,Data Analyst,Other,Hybrid,Other,2,"1,000+ employees"
45+,Israel,English,10+,Healthcare Professional,PhD,Work from home,Other,5,"1,000+ employees"
45+,France,Spanish,03-יונ,Teacher,High School,Hybrid,Growth opportunities,2,"201-1,000 employees"
45+,Other,Hebrew,10+,Teacher,Bachelor's Degree,Office work,Other,1,51-200 employees
26-35,France,English,07-אוק,Engineer,Master's Degree,Office work,Other,4,51-200 employees
45+,Israel,Hebrew,03-יונ,Engineer,PhD,Office work,Growth opportunities,4,"201-1,000 employees"
26-35,Germany,Other,10+,Software Developer,High School,Work from home,Work-life balance,2,11-50 employees
18-25,Canada,Other,10+,Marketing Specialist,High School,Hybrid,Growth opportunities,3,51-200 employees
18-25,Israel,Hebrew,07-אוק,Teacher,Master's Degree,Hybrid,Work-life balance,4,"201-1,000 employees"
18-25,Australia,Other,03-יונ,Accountant,Master's Degree,Work from home,Growth opportunities,1,51-200 employees
45+,Australia,French,10+,Healthcare Professional,High School,Office work,Other,1,"1,000+ employees"
36-45,Israel,English,0-2,Healthcare Professional,Bachelor's Degree,Office work,Work-life balance,5,51-200 employees
36-45,UK,French,07-אוק,Data Analyst,High School,Work from home,Salary,3,11-50 employees
26-35,UK,Hebrew,07-אוק,Software Developer,High School,Work from home,Job security,2,"1,000+ employees"
26-35,Other,English,07-אוק,Engineer,Bachelor's Degree,Work from home,Other,3,"201-1,000 employees"
26-35,France,Other,10+,Marketing Specialist,Other,Office work,Job security,3,"1,000+ employees"
45+,Israel,Spanish,0-2,Accountant,Other,Hybrid,Other,1,"1,000+ employees"
45+,UK,Mandarin,03-יונ,Accountant,Master's Degree,Office work,Other,1,"1,000+ employees"
36-45,Other,Other,07-אוק,Engineer,PhD,Hybrid,Growth opportunities,4,51-200 employees
26-35,USA,Hebrew,10+,Healthcare Professional,PhD,Hybrid,Growth opportunities,4,"1,000+ employees"
45+,UK,German,03-יונ,Engineer,PhD,Hybrid,Other,4,11-50 employees
26-35,Germany,Hebrew,0-2,Other,High School,Office work,Growth opportunities,3,"201-1,000 employees"
18-25,India,Mandarin,07-אוק,Data Analyst,High School,Work from home,Work-life balance,3,"1,000+ employees"
18-25,UK,Hebrew,0-2,Other,High School,Work from home,Growth opportunities,1,"1,000+ employees"
18-25,UK,Hebrew,07-אוק,Engineer,Master's Degree,Office work,Growth opportunities,1,"1,000+ employees"
18-25,India,Spanish,0-2,Accountant,Master's Degree,Work from home,Other,5,"1,000+ employees"
36-45,France,German,07-אוק,Accountant,Master's Degree,Hybrid,Work-life balance,5,11-50 employees
18-25,Australia,Hebrew,03-יונ,Accountant,Master's Degree,Work from home,Other,1,1-10 employees
26-35,USA,Other,03-יונ,Software Developer,Bachelor's Degree,Work from home,Salary,1,"1,000+ employees"
36-45,UK,Other,10+,Other,Master's Degree,Work from home,Work-life balance,4,"1,000+ employees"
26-35,UK,Spanish,0-2,Other,PhD,Office work,Growth opportunities,3,11-50 employees
36-45,France,Mandarin,10+,Other,High School,Office work,Job security,2,11-50 employees
26-35,Australia,German,03-יונ,Teacher,Bachelor's Degree,Work from home,Growth opportunities,4,"201-1,000 employees"
36-45,India,Other,03-יונ,Accountant,Master's Degree,Work from home,Salary,5,1-10 employees
45+,Germany,Mandarin,07-אוק,Accountant,High School,Hybrid,Other,2,"201-1,000 employees"
36-45,Germany,Hebrew,03-יונ,Data Analyst,High School,Hybrid,Growth opportunities,2,11-50 employees
36-45,Israel,Hebrew,0-2,Accountant,Master's Degree,Office work,Salary,2,"201-1,000 employees"
36-45,Australia,Mandarin,07-אוק,Accountant,High School,Office work,Salary,3,11-50 employees
45+,Canada,Other,07-אוק,Data Analyst,Other,Office work,Other,1,51-200 employees
45+,Other,French,03-יונ,Data Analyst,High School,Work from home,Work-life balance,3,1-10 employees
26-35,UK,Spanish,10+,Marketing Specialist,Bachelor's Degree,Hybrid,Salary,3,"201-1,000 employees"
36-45,France,Hebrew,07-אוק,Software Developer,Master's Degree,Work from home,Growth opportunities,5,51-200 employees
45+,Canada,English,10+,Teacher,PhD,Office work,Work-life balance,3,11-50 employees
18-25,USA,French,10+,Marketing Specialist,High School,Hybrid,Work-life balance,3,"201-1,000 employees"
18-25,India,Hebrew,03-יונ,Teacher,Master's Degree,Hybrid,Work-life balance,2,11-50 employees
26-35,USA,English,0-2,Healthcare Professional,Other,Hybrid,Salary,4,"1,000+ employees"
45+,Australia,Hebrew,10+,Data Analyst,Master's Degree,Office work,Job security,4,"1,000+ employees"
45+,Australia,French,0-2,Engineer,Master's Degree,Hybrid,Work-life balance,5,11-50 employees
26-35,Canada,Hebrew,03-יונ,Accountant,High School,Work from home,Salary,4,51-200 employees
45+,Canada,Other,10+,Healthcare Professional,Other,Office work,Work-life balance,2,"201-1,000 employees"
36-45,Australia,Spanish,03-יונ,Engineer,Other,Work from home,Job security,2,1-10 employees
45+,India,Mandarin,03-יונ,Marketing Specialist,PhD,Work from home,Salary,4,51-200 employees
36-45,Other,French,03-יונ,Marketing Specialist,Other,Office work,Other,2,1-10 employees
45+,India,French,0-2,Accountant,Other,Work from home,Growth opportunities,1,11-50 employees
45+,Canada,Hebrew,07-אוק,Accountant,PhD,Office work,Job security,1,11-50 employees
45+,USA,Spanish,03-יונ,Data Analyst,High School,Work from home,Salary,2,51-200 employees
26-35,France,French,03-יונ,Software Developer,Bachelor's Degree,Work from home,Job security,5,"201-1,000 employees"
45+,Australia,Spanish,10+,Marketing Specialist,High School,Work from home,Job security,3,"1,000+ employees"
45+,Israel,Mandarin,03-יונ,Other,High School,Office work,Job security,1,11-50 employees
36-45,France,Hebrew,0-2,Engineer,Bachelor's Degree,Office work,Work-life balance,1,"201-1,000 employees"
36-45,Canada,German,0-2,Software Developer,High School,Work from home,Salary,5,"201-1,000 employees"
45+,France,Hebrew,03-יונ,Healthcare Professional,Bachelor's Degree,Office work,Job security,1,51-200 employees
45+,Other,Mandarin,07-אוק,Other,High School,Work from home,Growth opportunities,2,1-10 employees
26-35,USA,English,07-אוק,Engineer,Bachelor's Degree,Hybrid,Job security,5,51-200 employees
36-45,India,Hebrew,03-יונ,Healthcare Professional,Other,Work from home,Job security,4,"201-1,000 employees"
18-25,Other,Mandarin,0-2,Software Developer,Bachelor's Degree,Hybrid,Other,4,1-10 employees
36-45,France,English,07-אוק,Teacher,Master's Degree,Work from home,Other,4,"201-1,000 employees"
45+,Other,German,10+,Software Developer,Master's Degree,Office work,Growth opportunities,3,11-50 employees
36-45,Israel,Other,07-אוק,Software Developer,Master's Degree,Office work,Growth opportunities,2,1-10 employees
45+,Germany,English,07-אוק,Data Analyst,Other,Office work,Work-life balance,5,11-50 employees
45+,Other,Other,07-אוק,Other,Other,Hybrid,Work-life balance,2,51-200 employees
18-25,Australia,Mandarin,07-אוק,Accountant,Bachelor's Degree,Work from home,Salary,5,51-200 employees
26-35,UK,German,03-יונ,Teacher,Bachelor's Degree,Work from home,Salary,3,"201-1,000 employees"
36-45,UK,German,0-2,Marketing Specialist,Other,Hybrid,Other,1,"1,000+ employees"
26-35,India,Mandarin,10+,Healthcare Professional,Master's Degree,Office work,Other,5,51-200 employees
36-45,UK,Spanish,07-אוק,Teacher,Bachelor's Degree,Hybrid,Growth opportunities,1,"1,000+ employees"
26-35,Other,Mandarin,0-2,Data Analyst,Master's Degree,Office work,Salary,3,"201-1,000 employees"
45+,France,German,10+,Healthcare Professional,Bachelor's Degree,Office work,Salary,3,1-10 employees
36-45,India,Other,07-אוק,Engineer,PhD,Office work,Growth opportunities,2,"201-1,000 employees"
18-25,India,French,10+,Marketing Specialist,Master's Degree,Work from home,Job security,5,11-50 employees
26-35,Germany,Mandarin,10+,Other,Master's Degree,Hybrid,Other,2,51-200 employees
26-35,France,French,0-2,Accountant,Bachelor's Degree,Office work,Salary,1,"201-1,000 employees"
18-25,Canada,Spanish,07-אוק,Healthcare Professional,PhD,Office work,Work-life balance,4,"201-1,000 employees"
18-25,Germany,Hebrew,0-2,Engineer,Master's Degree,Hybrid,Work-life balance,4,51-200 employees
18-25,Other,Mandarin,0-2,Data Analyst,Other,Office work,Other,2,51-200 employees
45+,USA,English,10+,Other,Other,Office work,Work-life balance,4,1-10 employees
18-25,Germany,Hebrew,0-2,Software Developer,High School,Hybrid,Job security,1,11-50 employees
36-45,UK,Hebrew,07-אוק,Accountant,Master's Degree,Hybrid,Growth opportunities,5,1-10 employees
36-45,Other,Mandarin,07-אוק,Other,PhD,Office work,Job security,4,"1,000+ employees"
45+,Australia,Hebrew,03-יונ,Accountant,Master's Degree,Work from home,Other,5,"1,000+ employees"
26-35,France,English,07-אוק,Engineer,High School,Hybrid,Growth opportunities,5,11-50 employees
36-45,Germany,Other,0-2,Healthcare Professional,PhD,Hybrid,Job security,5,"201-1,000 employees"
26-35,Germany,German,03-יונ,Marketing Specialist,High School,Hybrid,Other,3,51-200 employees
45+,Canada,Hebrew,10+,Accountant,Other,Hybrid,Job security,1,1-10 employees
26-35,Germany,Hebrew,10+,Other,Other,Office work,Salary,1,51-200 employees
26-35,France,Spanish,10+,Engineer,Master's Degree,Work from home,Growth opportunities,1,11-50 employees
26-35,India,Other,10+,Teacher,High School,Hybrid,Job security,3,1-10 employees
18-25,Israel,French,0-2,Marketing Specialist,High School,Hybrid,Salary,5,11-50 employees
45+,Israel,Mandarin,03-יונ,Marketing Specialist,Master's Degree,Hybrid,Job security,4,1-10 employees
36-45,Australia,English,03-יונ,Engineer,Master's Degree,Hybrid,Other,2,"201-1,000 employees"
26-35,Australia,Other,10+,Software Developer,Master's Degree,Work from home,Work-life balance,4,51-200 employees
18-25,India,Hebrew,07-אוק,Accountant,PhD,Work from home,Salary,5,"1,000+ employees"
36-45,Germany,French,10+,Data Analyst,High School,Work from home,Job security,3,11-50 employees
